cogid,bucket,run_accession
CAMC-142DAEA,demo_samples,ERR5656218
CAMC-141DB08,demo_samples,ERR5653377
QEUH-1412BC7,demo_samples,ERR5637447
CAMC-141BFFF,demo_samples,ERR5651713
QEUH-14186B1,demo_samples,ERR5655116
QEUH-1414907,demo_samples,ERR5623058
MILK-14194A7,demo_samples,ERR5647733
QEUH-14098EA,demo_samples,ERR5558824
CAMC-141D26D,demo_samples,ERR5653256
QEUH-140871B,demo_samples,ERR5553784
QEUH-140807A,demo_samples,ERR5557461
QEUH-140E92E,demo_samples,ERR5637812
QEUH-1416EF7,demo_samples,ERR5647647
QEUH-141899A,demo_samples,ERR5655162
QEUH-1418824,demo_samples,ERR5655225
ALDP-1436091,demo_samples,ERR5651094
ALDP-14323E7,demo_samples,ERR5650432
QEUH-1415371,demo_samples,ERR5637577
QEUH-14186EE,demo_samples,ERR5655181
QEUH-14170C3,demo_samples,ERR5647484
ALDP-143A604,demo_samples,ERR5652648
QEUH-1420346,demo_samples,ERR5656277
QEUH-140E7CA,demo_samples,ERR5654981
QEUH-1415159,demo_samples,ERR5622900
ALDP-1439BAC,demo_samples,ERR5652803
CAMC-142DE57,demo_samples,ERR5656104
QEUH-140945F,demo_samples,ERR5557639
RAND-1435A0D,demo_samples,ERR5650811
QEUH-1414785,demo_samples,ERR5623040
ALDP-143246C,demo_samples,ERR5650315
QEUH-140ADAE,demo_samples,ERR5637841
CAMC-141BC16,demo_samples,ERR5651781
QEUH-140B596,demo_samples,ERR5637847
QEUH-1409343,demo_samples,ERR5553680
MILK-14195C2,demo_samples,ERR5647567
QEUH-14235C5,demo_samples,ERR5624482
QEUH-1414372,demo_samples,ERR5654963
QEUH-14171EE,demo_samples,ERR5647683
QEUH-141700F,demo_samples,ERR5647483
QEUH-140D5C1,demo_samples,ERR5559096
QEUH-140ADF9,demo_samples,ERR5623459
QEUH-1412E91,demo_samples,ERR5622822
MILK-1419489,demo_samples,ERR5647682
ALDP-143BB8C,demo_samples,ERR5655665
ALDP-14327CD,demo_samples,ERR5650503
ALDP-142F6D5,demo_samples,ERR5649424
QEUH-1420425,demo_samples,ERR5656302
QEUH-141546F,demo_samples,ERR5637611
QEUH-140EB55,demo_samples,ERR5559145
QEUH-14085D5,demo_samples,ERR5553621
