cogid,bucket,run_accession
BIRM-BCN48G,demo_samples,ERR5669688
NORT-1BA6E13,demo_samples,ERR5633187
BIRM-BCN4GE,demo_samples,ERR5669013
BIRM-BCNHGG,demo_samples,ERR5667395
NOTT-2525A4,demo_samples,ERR5630860
BRIS-264A28,demo_samples,ERR5704835
SHEF-10CD9A7,demo_samples,ERR5635337
PORT-2DF19C,demo_samples,ERR5669245
LIVE-E0C992,demo_samples,ERR5668671
BIRM-BCNB1E,demo_samples,ERR5668999
PORT-1E7F144,demo_samples,ERR5667727
BIRM-BCN5K9,demo_samples,ERR5666820
SHEF-10E8A0D,demo_samples,ERR5634276
CAMB-AA474B,demo_samples,ERR5669995
BIRM-BCN5JB,demo_samples,ERR5669447
BIRM-BCN4RC,demo_samples,ERR5667218
SHEF-10D8420,demo_samples,ERR5628367
PAHT-26D4D4E,demo_samples,ERR5746302
LIVE-E0C4FB,demo_samples,ERR5668920
LIVE-E0C9A1,demo_samples,ERR5666675
CAMB-AA44F9,demo_samples,ERR5629906
SHEF-10D3C0F,demo_samples,ERR5669561
CAMB-AA44DB,demo_samples,ERR5633198
LIVE-E0C9B0,demo_samples,ERR5666346
BIRM-BCN5UC,demo_samples,ERR5668727
BIRM-BCNHXW,demo_samples,ERR5669232
PORT-2DF1F6,demo_samples,ERR5668579
BIRM-BCN7EB,demo_samples,ERR5669848
BIRM-BCN4AD,demo_samples,ERR5670186
SHEF-10DF553,demo_samples,ERR5628277
BIRM-BCBBQU,demo_samples,ERR5776801
LIVE-E0BBF7,demo_samples,ERR5667996
PORT-2DF18D,demo_samples,ERR5666614
SHEF-10D2435,demo_samples,ERR5633884
PORT-1E7B209,demo_samples,ERR5746627
SHEF-10EC210,demo_samples,ERR5629921
BIRM-BCN4NO,demo_samples,ERR5669498
LIVE-E0C4CE,demo_samples,ERR5669404
BRIS-264A19,demo_samples,ERR5705347
CAMB-AA466C,demo_samples,ERR5670490
BIRM-BCN4XS,demo_samples,ERR5666800
SHEF-10CFF58,demo_samples,ERR5631083
CVR7368,demo_samples,ERR5705680
PORT-2F0AA9,demo_samples,ERR5669062
PORT-2F0AF4,demo_samples,ERR5668421
BIRM-BCN4FK,demo_samples,ERR5666331
SHEF-10C5620,demo_samples,ERR5631305
PORT-1E7B254,demo_samples,ERR5748082
BIRM-BCBBSN,demo_samples,ERR5776327
BIRM-BCN4ER,demo_samples,ERR5667647
