name,class_,sample,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ill__Brazil_P.1_33329_P2D2__1,mmm-artic-ill,Brazil_P.1_33329_P2D2,ill,artic,1,mmm-artic-ill__Brazil_P.1_33329_P2D2__1*.fastq.gz,99.77168949771689,8734,P.1,3.1.5
mmm-artic-ill__Brazil_P.1_33329_P2D2__2,mmm-artic-ill,Brazil_P.1_33329_P2D2,ill,artic,2,mmm-artic-ill__Brazil_P.1_33329_P2D2__2*.fastq.gz,99.96978243352136,2474,P.1,3.1.5
mmm-artic-ill__Brazil_P.1_33329_P2D2__3,mmm-artic-ill,Brazil_P.1_33329_P2D2,ill,artic,3,mmm-artic-ill__Brazil_P.1_33329_P2D2__3*.fastq.gz,99.96978243352136,7507,P.1,3.1.5
mmm-artic-ont__Brazil_P.1_33329_P2D2__1,mmm-artic-ont,Brazil_P.1_33329_P2D2,ont,artic,1,mmm-artic-ont__Brazil_P.1_33329_P2D2__1*.fastq.gz,100.0,961,P.1,3.1.5
mmm-artic-ont__Brazil_P.1_33329_P2D2__2,mmm-artic-ont,Brazil_P.1_33329_P2D2,ont,artic,2,mmm-artic-ont__Brazil_P.1_33329_P2D2__2*.fastq.gz,100.0,2956,P.1,3.1.5
mmm-artic-ont__Brazil_P.1_33329_P2D2__3,mmm-artic-ont,Brazil_P.1_33329_P2D2,ont,artic,3,mmm-artic-ont__Brazil_P.1_33329_P2D2__3*.fastq.gz,100.0,4068,P.1,3.1.5
mmm-sispa-ill__Brazil_P.1_33329_P2D2__1,mmm-sispa-ill,Brazil_P.1_33329_P2D2,ill,sispa,1,mmm-sispa-ill__Brazil_P.1_33329_P2D2__1*.fastq.gz,100.0,11651,P.1,3.1.5
mmm-sispa-ill__Brazil_P.1_33329_P2D2__2,mmm-sispa-ill,Brazil_P.1_33329_P2D2,ill,sispa,2,mmm-sispa-ill__Brazil_P.1_33329_P2D2__2*.fastq.gz,100.0,9957,P.1,3.1.5
mmm-sispa-ill__Brazil_P.1_33329_P2D2__3,mmm-sispa-ill,Brazil_P.1_33329_P2D2,ill,sispa,3,mmm-sispa-ill__Brazil_P.1_33329_P2D2__3*.fastq.gz,99.99664249261349,7626,P.1,3.1.5
mmm-sispa-ont__Brazil_P.1_33329_P2D2__1,mmm-sispa-ont,Brazil_P.1_33329_P2D2,ont,sispa,1,mmm-sispa-ont__Brazil_P.1_33329_P2D2__1*.fastq.gz,100.0,647,P.1,3.1.5
mmm-sispa-ont__Brazil_P.1_33329_P2D2__2,mmm-sispa-ont,Brazil_P.1_33329_P2D2,ont,sispa,2,mmm-sispa-ont__Brazil_P.1_33329_P2D2__2*.fastq.gz,100.0,2795,P.1,3.1.5
mmm-sispa-ont__Brazil_P.1_33329_P2D2__3,mmm-sispa-ont,Brazil_P.1_33329_P2D2,ont,sispa,3,mmm-sispa-ont__Brazil_P.1_33329_P2D2__3*.fastq.gz,100.0,19580,P.1,3.1.5
mmm-artic-ill__Brazil_P.1_3522_P1D4__1,mmm-artic-ill,Brazil_P.1_3522_P1D4,ill,artic,1,mmm-artic-ill__Brazil_P.1_3522_P1D4__1*.fastq.gz,99.71125436475961,8121,P.1.1,3.1.5
mmm-artic-ill__Brazil_P.1_3522_P1D4__2,mmm-artic-ill,Brazil_P.1_3522_P1D4,ill,artic,2,mmm-artic-ill__Brazil_P.1_3522_P1D4__2*.fastq.gz,99.90934730056406,7000,P.1.1,3.1.5
mmm-artic-ill__Brazil_P.1_3522_P1D4__3,mmm-artic-ill,Brazil_P.1_3522_P1D4,ill,artic,3,mmm-artic-ill__Brazil_P.1_3522_P1D4__3*.fastq.gz,99.90934730056406,5513,P.1.1,3.1.5
mmm-artic-ont__Brazil_P.1_3522_P1D4__1,mmm-artic-ont,Brazil_P.1_3522_P1D4,ont,artic,1,mmm-artic-ont__Brazil_P.1_3522_P1D4__1*.fastq.gz,100.0,2123,P.1.1,3.1.5
mmm-artic-ont__Brazil_P.1_3522_P1D4__2,mmm-artic-ont,Brazil_P.1_3522_P1D4,ont,artic,2,mmm-artic-ont__Brazil_P.1_3522_P1D4__2*.fastq.gz,100.0,1994,P.1.1,3.1.5
mmm-artic-ont__Brazil_P.1_3522_P1D4__3,mmm-artic-ont,Brazil_P.1_3522_P1D4,ont,artic,3,mmm-artic-ont__Brazil_P.1_3522_P1D4__3*.fastq.gz,100.0,2296,P.1.1,3.1.5
mmm-sispa-ill__Brazil_P.1_3522_P1D4__1,mmm-sispa-ill,Brazil_P.1_3522_P1D4,ill,sispa,1,mmm-sispa-ill__Brazil_P.1_3522_P1D4__1*.fastq.gz,0.0,0,P.1.1,3.1.5
mmm-sispa-ill__Brazil_P.1_3522_P1D4__2,mmm-sispa-ill,Brazil_P.1_3522_P1D4,ill,sispa,2,mmm-sispa-ill__Brazil_P.1_3522_P1D4__2*.fastq.gz,99.98321246306742,9223,P.1.1,3.1.5
mmm-sispa-ill__Brazil_P.1_3522_P1D4__3,mmm-sispa-ill,Brazil_P.1_3522_P1D4,ill,sispa,3,mmm-sispa-ill__Brazil_P.1_3522_P1D4__3*.fastq.gz,99.98992747784045,10354,P.1.1,3.1.5
mmm-sispa-ont__Brazil_P.1_3522_P1D4__1,mmm-sispa-ont,Brazil_P.1_3522_P1D4,ont,sispa,1,mmm-sispa-ont__Brazil_P.1_3522_P1D4__1*.fastq.gz,100.0,187,P.1.1,3.1.5
mmm-sispa-ont__Brazil_P.1_3522_P1D4__2,mmm-sispa-ont,Brazil_P.1_3522_P1D4,ont,sispa,2,mmm-sispa-ont__Brazil_P.1_3522_P1D4__2*.fastq.gz,100.0,3253,P.1.1,3.1.5
mmm-sispa-ont__Brazil_P.1_3522_P1D4__3,mmm-sispa-ont,Brazil_P.1_3522_P1D4,ont,sispa,3,mmm-sispa-ont__Brazil_P.1_3522_P1D4__3*.fastq.gz,100.0,5982,P.1.1,3.1.5
mmm-artic-ill__Brazil_P.1_3522_P2D2__1,mmm-artic-ill,Brazil_P.1_3522_P2D2,ill,artic,1,mmm-artic-ill__Brazil_P.1_3522_P2D2__1*.fastq.gz,99.71125436475961,5267,P.1.1,3.1.5
mmm-artic-ill__Brazil_P.1_3522_P2D2__2,mmm-artic-ill,Brazil_P.1_3522_P2D2,ill,artic,2,mmm-artic-ill__Brazil_P.1_3522_P2D2__2*.fastq.gz,99.90934730056406,3443,P.1.1,3.1.5
