name,class_,origin,sample_hash,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ill_s24350_1,mmm-artic-ill,culture,s24350,ill,artic,1,mmm-artic-ill_s24350_1*.fastq.gz,99.77168949771689,8734,P.1,3.1.5
mmm-artic-ill_s24350_2,mmm-artic-ill,culture,s24350,ill,artic,2,mmm-artic-ill_s24350_2*.fastq.gz,99.96978243352136,2474,P.1,3.1.5
mmm-artic-ill_s24350_3,mmm-artic-ill,culture,s24350,ill,artic,3,mmm-artic-ill_s24350_3*.fastq.gz,99.96978243352136,7507,P.1,3.1.5
mmm-artic-ont_s24350_1,mmm-artic-ont,culture,s24350,ont,artic,1,mmm-artic-ont_s24350_1*.fastq.gz,100.0,961,P.1,3.1.5
mmm-artic-ont_s24350_2,mmm-artic-ont,culture,s24350,ont,artic,2,mmm-artic-ont_s24350_2*.fastq.gz,100.0,2956,P.1,3.1.5
mmm-artic-ont_s24350_3,mmm-artic-ont,culture,s24350,ont,artic,3,mmm-artic-ont_s24350_3*.fastq.gz,100.0,4068,P.1,3.1.5
mmm-sispa-ill_s24350_1,mmm-sispa-ill,culture,s24350,ill,sispa,1,mmm-sispa-ill_s24350_1*.fastq.gz,100.0,11651,P.1,3.1.5
mmm-sispa-ill_s24350_2,mmm-sispa-ill,culture,s24350,ill,sispa,2,mmm-sispa-ill_s24350_2*.fastq.gz,100.0,9957,P.1,3.1.5
mmm-sispa-ill_s24350_3,mmm-sispa-ill,culture,s24350,ill,sispa,3,mmm-sispa-ill_s24350_3*.fastq.gz,99.99664249261349,7626,P.1,3.1.5
mmm-sispa-ont_s24350_1,mmm-sispa-ont,culture,s24350,ont,sispa,1,mmm-sispa-ont_s24350_1*.fastq.gz,100.0,647,P.1,3.1.5
mmm-sispa-ont_s24350_2,mmm-sispa-ont,culture,s24350,ont,sispa,2,mmm-sispa-ont_s24350_2*.fastq.gz,100.0,2795,P.1,3.1.5
mmm-sispa-ont_s24350_3,mmm-sispa-ont,culture,s24350,ont,sispa,3,mmm-sispa-ont_s24350_3*.fastq.gz,100.0,19580,P.1,3.1.5
mmm-artic-ill_s59130_1,mmm-artic-ill,culture,s59130,ill,artic,1,mmm-artic-ill_s59130_1*.fastq.gz,99.71125436475961,8121,P.1.1,3.1.5
mmm-artic-ill_s59130_2,mmm-artic-ill,culture,s59130,ill,artic,2,mmm-artic-ill_s59130_2*.fastq.gz,99.90934730056406,7000,P.1.1,3.1.5
mmm-artic-ill_s59130_3,mmm-artic-ill,culture,s59130,ill,artic,3,mmm-artic-ill_s59130_3*.fastq.gz,99.90934730056406,5513,P.1.1,3.1.5
mmm-artic-ont_s59130_1,mmm-artic-ont,culture,s59130,ont,artic,1,mmm-artic-ont_s59130_1*.fastq.gz,100.0,2123,P.1.1,3.1.5
mmm-artic-ont_s59130_2,mmm-artic-ont,culture,s59130,ont,artic,2,mmm-artic-ont_s59130_2*.fastq.gz,100.0,1994,P.1.1,3.1.5
mmm-artic-ont_s59130_3,mmm-artic-ont,culture,s59130,ont,artic,3,mmm-artic-ont_s59130_3*.fastq.gz,100.0,2296,P.1.1,3.1.5
mmm-sispa-ill_s59130_1,mmm-sispa-ill,culture,s59130,ill,sispa,1,mmm-sispa-ill_s59130_1*.fastq.gz,0.0,0,P.1.1,3.1.5
mmm-sispa-ill_s59130_2,mmm-sispa-ill,culture,s59130,ill,sispa,2,mmm-sispa-ill_s59130_2*.fastq.gz,99.98321246306742,9223,P.1.1,3.1.5
mmm-sispa-ill_s59130_3,mmm-sispa-ill,culture,s59130,ill,sispa,3,mmm-sispa-ill_s59130_3*.fastq.gz,99.98992747784045,10354,P.1.1,3.1.5
mmm-sispa-ont_s59130_1,mmm-sispa-ont,culture,s59130,ont,sispa,1,mmm-sispa-ont_s59130_1*.fastq.gz,100.0,187,P.1.1,3.1.5
mmm-sispa-ont_s59130_2,mmm-sispa-ont,culture,s59130,ont,sispa,2,mmm-sispa-ont_s59130_2*.fastq.gz,100.0,3253,P.1.1,3.1.5
mmm-sispa-ont_s59130_3,mmm-sispa-ont,culture,s59130,ont,sispa,3,mmm-sispa-ont_s59130_3*.fastq.gz,100.0,5982,P.1.1,3.1.5
mmm-artic-ill_s98244_1,mmm-artic-ill,culture,s98244,ill,artic,1,mmm-artic-ill_s98244_1*.fastq.gz,99.71125436475961,5267,P.1.1,3.1.5
mmm-artic-ill_s98244_2,mmm-artic-ill,culture,s98244,ill,artic,2,mmm-artic-ill_s98244_2*.fastq.gz,99.90934730056406,3443,P.1.1,3.1.5
mmm-artic-ill_s98244_3,mmm-artic-ill,culture,s98244,ill,artic,3,mmm-artic-ill_s98244_3*.fastq.gz,99.90934730056406,6117,P.1.1,3.1.5
mmm-artic-ont_s98244_1,mmm-artic-ont,culture,s98244,ont,artic,1,mmm-artic-ont_s98244_1*.fastq.gz,100.0,1521,P.1.1,3.1.5
mmm-artic-ont_s98244_2,mmm-artic-ont,culture,s98244,ont,artic,2,mmm-artic-ont_s98244_2*.fastq.gz,100.0,1370,P.1.1,3.1.5
mmm-artic-ont_s98244_3,mmm-artic-ont,culture,s98244,ont,artic,3,mmm-artic-ont_s98244_3*.fastq.gz,100.0,727,P.1.1,3.1.5
mmm-sispa-ill_s98244_1,mmm-sispa-ill,culture,s98244,ill,sispa,1,mmm-sispa-ill_s98244_1*.fastq.gz,99.99328498522698,11096,P.1.1,3.1.5
mmm-sispa-ill_s98244_2,mmm-sispa-ill,culture,s98244,ill,sispa,2,mmm-sispa-ill_s98244_2*.fastq.gz,99.98656997045393,8032,P.1.1,3.1.5
mmm-sispa-ill_s98244_3,mmm-sispa-ill,culture,s98244,ill,sispa,3,mmm-sispa-ill_s98244_3*.fastq.gz,99.98992747784045,11793,P.1.1,3.1.5
mmm-sispa-ont_s98244_1,mmm-sispa-ont,culture,s98244,ont,sispa,1,mmm-sispa-ont_s98244_1*.fastq.gz,100.0,699,P.1.1,3.1.5
