sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
mmm-artic-ill-s13935-1,3.51,96.43,11299,120344,mmm-artic-ill-s13935-1.fasta,mmm-artic-ill-s13935-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s11511-2,0.22,99.78,29836,130791,mmm-sispa-ill-s11511-2.fasta,mmm-sispa-ill-s11511-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s67251-1,1.45,98.55,25983,250189,mmm-artic-ill-s67251-1.fasta,mmm-artic-ill-s67251-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s13528-3,29.68,70.30,1734,221359,mmm-artic-ill-s13528-3.fasta,mmm-artic-ill-s13528-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s68576-1,2.27,97.67,19249,316765,mmm-artic-ill-s68576-1.fasta,mmm-artic-ill-s68576-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s82718-1,0.14,99.80,29863,470251,mmm-artic-ill-s82718-1.fasta,mmm-artic-ill-s82718-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s56299-2,0.32,99.68,29807,422863,mmm-artic-ill-s56299-2.fasta,mmm-artic-ill-s56299-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s24350-2,0.14,99.83,29829,316539,mmm-artic-ill-s24350-2.fasta,mmm-artic-ill-s24350-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s11511-1,0.32,99.68,29808,670729,mmm-artic-ill-s11511-1.fasta,mmm-artic-ill-s11511-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s52247-2,0.32,99.63,29788,502857,mmm-artic-ill-s52247-2.fasta,mmm-artic-ill-s52247-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s35910-1,0.32,99.63,29808,712855,mmm-artic-ill-s35910-1.fasta,mmm-artic-ill-s35910-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s52247-1,0.32,99.62,29807,607441,mmm-artic-ill-s52247-1.fasta,mmm-artic-ill-s52247-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s98244-1,0.38,99.53,26067,653793,mmm-artic-ill-s98244-1.fasta,mmm-artic-ill-s98244-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s98244-3,0.25,99.66,29830,762048,mmm-artic-ill-s98244-3.fasta,mmm-artic-ill-s98244-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s59130-3,0.31,99.60,29810,712882,mmm-artic-ill-s59130-3.fasta,mmm-artic-ill-s59130-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s98244-2,0.25,99.66,29807,432533,mmm-artic-ill-s98244-2.fasta,mmm-artic-ill-s98244-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s64379-1,0.07,99.93,29850,422173,mmm-artic-ill-s64379-1.fasta,mmm-artic-ill-s64379-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s64379-3,0.32,99.68,29807,675439,mmm-artic-ill-s64379-3.fasta,mmm-artic-ill-s64379-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s11937-1,1.08,98.92,20082,130787,mmm-artic-ill-s11937-1.fasta,mmm-artic-ill-s11937-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s59130-2,0.20,99.71,29845,858628,mmm-artic-ill-s59130-2.fasta,mmm-artic-ill-s59130-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s64379-2,0.32,99.68,29808,1009615,mmm-artic-ill-s64379-2.fasta,mmm-artic-ill-s64379-2.mapped.primertrimmed.sorted.bam,TRUE
phe-sispa-ill-s32219-1,0.10,99.88,29874,282128,phe-sispa-ill-s32219-1.fasta,phe-sispa-ill-s32219-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s32219-2,1.76,98.18,22296,555631,mmm-artic-ill-s32219-2.fasta,mmm-artic-ill-s32219-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s11937-3,1.68,98.32,19967,270176,mmm-artic-ill-s11937-3.fasta,mmm-artic-ill-s11937-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s59130-1,0.29,99.62,26086,994015,mmm-artic-ill-s59130-1.fasta,mmm-artic-ill-s59130-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s11937-2,0.28,99.72,29821,327189,mmm-artic-ill-s11937-2.fasta,mmm-artic-ill-s11937-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s24350-3,0.24,99.73,29833,950346,mmm-artic-ill-s24350-3.fasta,mmm-artic-ill-s24350-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12368-2,0.21,99.79,29808,509789,mmm-artic-ill-s12368-2.fasta,mmm-artic-ill-s12368-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12368-1,0.19,99.81,29814,859178,mmm-artic-ill-s12368-1.fasta,mmm-artic-ill-s12368-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s32219-1,1.84,98.10,22295,457859,mmm-artic-ill-s32219-1.fasta,mmm-artic-ill-s32219-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s14305-2,2.26,97.74,11545,101898,mmm-artic-ill-s14305-2.fasta,mmm-artic-ill-s14305-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s99011-1,1.59,98.41,10118,180121,mmm-artic-ill-s99011-1.fasta,mmm-artic-ill-s99011-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s10370-1,3.09,96.91,17473,162041,mmm-artic-ill-s10370-1.fasta,mmm-artic-ill-s10370-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s10497-1,0.32,99.62,29809,274474,mmm-artic-ill-s10497-1.fasta,mmm-artic-ill-s10497-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s60021-1,0.28,99.72,29821,270338,mmm-artic-ill-s60021-1.fasta,mmm-artic-ill-s60021-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s98244-2,0.00,99.98,29903,1640374,mmm-sispa-ill-s98244-2.fasta,mmm-sispa-ill-s98244-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12142-1,0.04,99.90,29860,661618,mmm-artic-ill-s12142-1.fasta,mmm-artic-ill-s12142-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s82718-2,0.64,99.30,19906,545107,mmm-artic-ill-s82718-2.fasta,mmm-artic-ill-s82718-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s63857-1,0.26,99.74,29827,376908,mmm-artic-ill-s63857-1.fasta,mmm-artic-ill-s63857-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12466-1,0.84,99.16,12153,254608,mmm-artic-ill-s12466-1.fasta,mmm-artic-ill-s12466-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s14305-1,1.62,98.38,19258,141602,mmm-artic-ill-s14305-1.fasta,mmm-artic-ill-s14305-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s79306-1,0.15,99.79,29826,639456,mmm-artic-ill-s79306-1.fasta,mmm-artic-ill-s79306-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12142-2,0.05,99.89,29836,716764,mmm-artic-ill-s12142-2.fasta,mmm-artic-ill-s12142-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s92227-1,2.66,97.34,13208,246156,mmm-artic-ill-s92227-1.fasta,mmm-artic-ill-s92227-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s14270-1,1.23,98.77,27507,271629,mmm-artic-ill-s14270-1.fasta,mmm-artic-ill-s14270-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s27509-1,0.22,99.76,29832,242363,mmm-artic-ill-s27509-1.fasta,mmm-artic-ill-s27509-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s48306-1,19.27,80.70,3756,184356,mmm-artic-ill-s48306-1.fasta,mmm-artic-ill-s48306-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s14305-3,3.43,96.57,11531,119165,mmm-artic-ill-s14305-3.fasta,mmm-artic-ill-s14305-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s64379-2,0.00,100.00,29903,1833174,mmm-sispa-ill-s64379-2.fasta,mmm-sispa-ill-s64379-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s12220-1,0.22,99.78,29836,71656,mmm-sispa-ill-s12220-1.fasta,mmm-sispa-ill-s12220-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12220-1,0.24,99.76,29833,640677,mmm-artic-ill-s12220-1.fasta,mmm-artic-ill-s12220-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s24350-3,0.00,100.00,29903,1772590,mmm-sispa-ill-s24350-3.fasta,mmm-sispa-ill-s24350-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s12368-1,0.00,100.00,29903,2182408,mmm-sispa-ill-s12368-1.fasta,mmm-sispa-ill-s12368-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s98244-1,0.00,99.99,29903,2539205,mmm-sispa-ill-s98244-1.fasta,mmm-sispa-ill-s98244-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s48306-2,9.29,90.69,10575,152614,mmm-artic-ill-s48306-2.fasta,mmm-artic-ill-s48306-2.mapped.primertrimmed.sorted.bam,TRUE
