sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
mmm-sispa-ont-s24350-2,0.50,99.59,4355,38933,mmm-sispa-ont-s24350-2.consensus.fasta,mmm-sispa-ont-s24350-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s10370-1,1.40,98.60,27457,59110,mmm-artic-ont-s10370-1.consensus.fasta,mmm-artic-ont-s10370-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12466-1,0.41,99.60,19430,73623,mmm-artic-ont-s12466-1.consensus.fasta,mmm-artic-ont-s12466-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s59130-2,0.49,99.60,4674,42598,mmm-sispa-ont-s59130-2.consensus.fasta,mmm-sispa-ont-s59130-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s98244-2,0.47,99.60,10318,60335,mmm-sispa-ont-s98244-2.consensus.fasta,mmm-sispa-ont-s98244-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s53667-4,0.40,99.60,29777,93495,mmm-artic-ont-s53667-4.consensus.fasta,mmm-artic-ont-s53667-4.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s64379-2,0.42,99.60,16177,67235,mmm-sispa-ont-s64379-2.consensus.fasta,mmm-sispa-ont-s64379-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s59130-3,0.45,99.60,10318,61996,mmm-sispa-ont-s59130-3.consensus.fasta,mmm-sispa-ont-s59130-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s32219-1,1.13,98.87,22253,87226,mmm-artic-ont-s32219-1.consensus.fasta,mmm-artic-ont-s32219-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s24350-3,0.41,99.60,28199,92521,mmm-artic-ont-s24350-3.consensus.fasta,mmm-artic-ont-s24350-3.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s53667-1,1.57,98.29,12039,16618,mmm-sispa-ont-s53667-1.consensus.fasta,mmm-sispa-ont-s53667-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s13528-1,0.40,99.60,29777,92587,mmm-artic-ont-s13528-1.consensus.fasta,mmm-artic-ont-s13528-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s60021-1,0.40,99.60,29783,86996,mmm-artic-ont-s60021-1.consensus.fasta,mmm-artic-ont-s60021-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s12368-3,0.41,99.60,28199,79080,mmm-sispa-ont-s12368-3.consensus.fasta,mmm-sispa-ont-s12368-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s82718-1,0.41,99.60,18410,90595,mmm-artic-ont-s82718-1.consensus.fasta,mmm-artic-ont-s82718-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s82718-2,0.42,99.54,17454,77805,mmm-artic-ont-s82718-2.consensus.fasta,mmm-artic-ont-s82718-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s12220-1,1.77,98.07,12022,14957,mmm-sispa-ont-s12220-1.consensus.fasta,mmm-sispa-ont-s12220-1.primertrimmed.rg.sorted.bam,TRUE
